listing_id,type_1,frame_1,id,type_2,frame_2,note
B120731-12,c,도덕/곤경,B120731-12,c,도덕,"주님의교회 부목사로 재직, 교회 급여"
B100721-41,x,곤경,B100721-41,x,도덕/곤경,팝펀딩이 신앙 같다는 비유적 사용
B100428-7,c,곤경,B100428-7,c,도덕/곤경,지출내역 주일교회 3만원
B110818-9,c,곤경,B110818-9,b,도덕/곤경,"교회·전도사 언급이 절단부에 위치, 본인 신앙 맥락 추정"
B180822-2,a,도덕/곤경,B180822-2,a,도덕/곤경,편안히 천국 가시기를 기도한다
B100322-1,c,곤경,B100322-1,c,도덕/곤경,"십일조·헌금·목회 언급(절단부), 지출 성격"
B100918-14,b,곤경,B100918-14,b,도덕/곤경,다시 신앙인으로 돌아갈 계기 - 본인 정체성
B091217-3,b,곤경,B091217-3,b,도덕/곤경,"하나님은 감당할 만큼만 주신다는 믿음, 기도로 버틴"
B110712-22,b,도덕/곤경,B110712-22,a,도덕/곤경,하느님이 주신 기회인 듯하다 - 관용구
B120519-4,a,도덕/곤경,B120519-4,a,도덕/곤경,간절히 기도해봅니다
B110211-9,b,곤경,B110211-9,b,도덕/곤경,열심히 신앙생활 하고 있다는 본인 진술
B100615-11,c,곤경,B100615-11,b,도덕/곤경,교회 기도실 생활·내면의 음성 등 본인 신앙 서사
B090925-6,c,곤경,B090925-6,x,도덕/곤경,천주교사목교정위원회 - 지원기관 명칭
B100127-9,x,곤경,B100127-9,x,도덕/곤경,투자자 닉네임 블리스님 - 부분일치
B150921-4,c,도덕/곤경,B150921-4,c,도덕/곤경,본인 교회와 병원 전도사 협력으로 보증·지원
B101208-16,c,곤경,B101208-16,c,도덕/곤경,"남편 교회 목사 사역, 지출에 교회지원비 50만원"
B100115-19,b,도덕/곤경,B100115-19,b,도덕,교회 다니는 사람으로서 거짓없이 갚겠다
B191224-2,a,도덕/곤경,B191224-2,a,도덕,출근길에 감사 기도한다는 관용적 언급
B110531-10,c,도덕/곤경,B110531-10,x,도덕/곤경,목사님이 돈을 도와줌 - 제3자 언급
B100113-11,x,곤경,B100113-11,x,도덕/곤경,종교 표현 없음(매칭어 없음)
B100215-1,a,곤경,B100215-1,b,도덕/곤경,기도로써 과거를 반성하며 산다는 본인 신앙
B120215-11,x,도덕/곤경,B120215-11,x,도덕/곤경,어머니가 다니는 교회 - 제3자
B120530-2,a,도덕/곤경,B120530-2,a,도덕/곤경,"간절히 기도해봅니다 closing formula; mother's illness, 성실히"
B081201-6,b,도덕/곤경,B081201-6,c,도덕/곤경,"교회 다니고 매일 기도; mother's surgery, 성실 상환 약속"
B120116-12,a,도덕/곤경,B120116-12,x,도덕/곤경,"새벽기도 is the mother's practice, not borrower's"
B120708-1,x,도덕/곤경,B120708-1,x,도덕/곤경,점주님 accidental substring of 주님
B100519-7,a,곤경,B100519-7,a,도덕/곤경,"기도하는 마음 idiom; 채무불이행, 연체없이 상환"
B101106-1,x,곤경,B101106-1,x,도덕/곤경,주시기도/힘들기도 accidental substrings
B120622-4,c,도덕/곤경,B120622-4,c,도덕/곤경,종교생활 헌금 as monthly budget item; husband's cancer
B110427-23,x,곤경,B110427-23,x,도덕/곤경,공주님 accidental substring
B100925-10,a,도덕/곤경,B100925-10,a,도덕/곤경,하나님께서 허락하신다면 rhetorical; 책임 다하겠습니다
B100813-19,b,곤경,B100813-19,b,도덕/곤경,"암 이후 신앙심 깊어짐, 믿음으로 살아옴; 개인회생"
B091128-1,x,곤경,B091128-1,x,도덕/곤경,"교회분들 = mother-in-law's guests, third party"
B100824-17,a,곤경,B100824-17,a,도덕/곤경,두손모아 기도 드립니다 closing; child's illness
B100117-3,b,곤경,B100117-3,b,도덕/곤경,"믿음생활, 하나님한테 감사; son jailed, 이혼"
B100828-11,a,도덕/곤경,B100828-11,a,도덕/곤경,"기도합니다 closing; 고금리, 성실히 갚겠다"
B101026-8,b,도덕/곤경,B101026-8,a,도덕/곤경,'이 또한 지나가리라' 성경말씸 quoted as idiom; 연체
B091030-9,x,곤경,B091030-9,x,도덕/곤경,업주님 accidental substring
B090523-2,b,도덕,B090523-2,c,도덕,매주 교회 예배 practice cited as trustworthiness; no hardship
B091016-8,c,곤경,B091016-8,c,도덕/곤경,교회헌금 in expense list; 주님=공주님 accidental; child's illness
B131030-3,c,도덕,B131030-3,c,도덕/곤경,"교회 근무 월110만원, 새벽기도 수송; 개인회생 과거"
B120220-22,c,도덕/곤경,B120220-22,c,도덕/곤경,"대형 사찰 근무 이력; 신용불량, 상환 의지"
B120914-3,c,도덕/곤경,B120914-3,c,도덕/곤경,"교회 부목사/목회자 직업; 아버지 수술비, 성실상환 약속"
B091130-15,a,곤경,B091130-15,a,도덕/곤경,"되기를 기도해 봅니다; 시어머니 암, 개인회생"
B100624-11,c,도덕/곤경,B100624-11,c,도덕/곤경,"교회 청소일 월50만원 수입; 백내장 수술, 연체없이"
B111128-6,c,도덕/곤경,B111128-6,x,도덕/곤경,"husband's 종교적인 일, not borrower's own religion"
B150905-2,c,도덕/곤경,B150905-2,c,도덕/곤경,"저희 교회 협력 병원, 전도사 보증; 아이 입원비, 성실납부"
B110706-21,x,곤경,B110706-21,x,도덕/곤경,토목회사 accidental substring of 목회
B141122-1,c,도덕,B141122-1,c,도덕,"기독교 대안학교 교장 직업; 연체 없음 강조, no hardship"
B111020-13,a,곤경,B111020-13,a,도덕/곤경,"기도하는 마음으로 신청; 남편 실직/부도, 성실히"
B180822-7,a,도덕/곤경,B180822-7,a,도덕/곤경,"기도하며 기다리겠습니다; 워크아웃, 연체없이 성실상환"
B110307-1,c,곤경,B110307-1,c,도덕/곤경,남편 목사 사역 아카데미 학자금 지출; 미납공과금
B100727-19,c,도덕,B100727-19,c,도덕/곤경,수요/금요/새벽 예배 참석 위해 교회 근처 이사; 파산면책
B161020-1,a,곤경,B161020-1,a,도덕/곤경,"눈 낫기를 기도하고 있습니다; 사위 난치병, 연체, 성실상환"
B101103-16,b,도덕/곤경,B101103-16,a,도덕/곤경,"성경말씸 인용구; 연체, 신용, 믿음 드리겠다"
B101116-5,a,도덕/곤경,B101116-5,a,도덕/곤경,"간절히 바라고 기도하고; 개인회생, 성실상환 약속"
B130227-7,b,도덕/곤경,B130227-7,b,도덕/곤경,"남편 통해 기독교 종교 가짐, 기도 중 하나님 은혜; 빚더미"
B111128-12,x,도덕/곤경,B111128-12,x,도덕/곤경,"교회 회보/기독교 단행본 = business clients, not own faith"
B110418-8,b,곤경,B110418-8,a,도덕/곤경,"하나님께서 상을 주신것 같습니다 formula; 부도, 신용불량"
B171025-2,a,도덕/곤경,B171025-2,a,도덕/곤경,"진심으로 기도하며 도전합니다; 학자금 연체, 성실납부"
B091020-5,b,곤경,B091020-5,c,도덕/곤경,"가족과 교회 다녀오던 길 (own attendance, incidental); 급여압류"
B101213-10,c,곤경,B101213-10,c,도덕/곤경,"성당 교도소 봉사 월2회, 봉사활동비 10만원; 이혼, 사업실패"
B100726-1,x,도덕/곤경,B100726-1,x,도덕/곤경,교회 집사님 어린이집 = third party's church
B101112-10,a,곤경,B101112-10,x,도덕/곤경,"법정 스님 수필 인용 (author's title only), not own religion"
B091008-6,c,곤경,B091008-6,x,도덕/곤경,"천주교사목교정위 창업지원 = support agency, not own faith"
B100918-3,x,도덕/곤경,B100918-3,x,도덕/곤경,발목사진 accidental substring of 목사
B091027-5,a,곤경,B091027-5,a,도덕/곤경,호전되길 기도하고 기도했지만; 아버지 위암 항암치료
B090628-2,x,종교,B090628-2,x,도덕,"no religious use in text; 딸 유학자금, no hardship narrative"
B101005-2,c,도덕/곤경,B101005-2,c,도덕/곤경,"성당 교도소 봉사 2년, 성금/봉사활동비; 이혼, 사업실패"
B100306-6,a,곤경,B100306-6,a,도덕/곤경,"주문처럼 기도하고 또 기도했지요; 가족 수술/백혈병, 다짐"
B101027-8,c,도덕/곤경,B101027-8,c,도덕/곤경,"성당 통한 교도소 봉사 월2회; 신용불량, 이혼, 성실 노력"
B100906-9,b,곤경,B100906-9,b,도덕/곤경,"암 이후 신앙심 깊어짐; 개인회생, 성실히 상환"
